mode,phase,seed,sort,unit_rank,time_bin,peak_count,value
hippo,initial_d30,1,freq,0,0,1,1.0
hippo,initial_d30,1,freq,0,1,1,0.92145
hippo,initial_d30,1,freq,0,2,1,0.84341
hippo,initial_d30,1,freq,0,3,1,0.7659
hippo,initial_d30,1,freq,0,4,1,0.68893
hippo,initial_d30,1,freq,0,5,1,0.61253
hippo,initial_d30,1,freq,0,6,1,0.53672
hippo,initial_d30,1,freq,0,7,1,0.46152
hippo,initial_d30,1,freq,0,8,1,0.38695
hippo,initial_d30,1,freq,0,9,1,0.31302
hippo,initial_d30,1,freq,0,10,1,0.23977
hippo,initial_d30,1,freq,0,11,1,0.16721
hippo,initial_d30,1,freq,0,12,1,0.09534
hippo,initial_d30,1,freq,0,13,1,0.02422
hippo,initial_d30,1,freq,0,14,1,-0.04616
hippo,initial_d30,1,freq,0,15,1,-0.11578
hippo,initial_d30,1,freq,0,16,1,-0.18461
hippo,initial_d30,1,freq,0,17,1,-0.25264
hippo,initial_d30,1,freq,0,18,1,-0.31985
hippo,initial_d30,1,freq,0,19,1,-0.38622
hippo,initial_d30,1,freq,0,20,1,-0.45174
hippo,initial_d30,1,freq,0,21,1,-0.51637
hippo,initial_d30,1,freq,0,22,1,-0.58012
hippo,initial_d30,1,freq,0,23,1,-0.64296
hippo,initial_d30,1,freq,0,24,1,-0.70488
hippo,initial_d30,1,freq,0,25,1,-0.76585
hippo,initial_d30,1,freq,0,26,1,-0.82586
hippo,initial_d30,1,freq,0,27,1,-0.8849
hippo,initial_d30,1,freq,0,28,1,-0.94295
hippo,initial_d30,1,freq,0,29,1,-1.0
hippo,initial_d30,1,freq,1,0,1,1.0
hippo,initial_d30,1,freq,1,1,1,0.93076
hippo,initial_d30,1,freq,1,2,1,0.86153
hippo,initial_d30,1,freq,1,3,1,0.79233
hippo,initial_d30,1,freq,1,4,1,0.72314
hippo,initial_d30,1,freq,1,5,1,0.65397
hippo,initial_d30,1,freq,1,6,1,0.58482
hippo,initial_d30,1,freq,1,7,1,0.51569
hippo,initial_d30,1,freq,1,8,1,0.44658
hippo,initial_d30,1,freq,1,9,1,0.37748
hippo,initial_d30,1,freq,1,10,1,0.3084
hippo,initial_d30,1,freq,1,11,1,0.23935
hippo,initial_d30,1,freq,1,12,1,0.17031
hippo,initial_d30,1,freq,1,13,1,0.1013
hippo,initial_d30,1,freq,1,14,1,0.03231
