D_train,D_test,ratio,phase,n_base_models,hippo_mean,hippo_sd,rand_mean,rand_sd,gap_hippo_minus_rand,welch_t,welch_p,mannwhitney_p,hippo_vs_chance_p,rand_vs_chance_p,chance_pct
30,30,1.0,transfer,10,86.56,1.6,85.36,1.29,1.2,1.854,0.08093,0.10411,0.0,0.0,33.33
30,30,1.0,recovery,10,85.08,1.62,82.45,1.32,2.63,3.977,0.00095,0.0022,0.0,0.0,33.33
30,40,1.3333,transfer,10,82.16,2.46,83.31,1.93,-1.15,-1.168,0.25899,0.24132,0.0,0.0,33.33
30,40,1.3333,recovery,10,82.34,2.26,81.22,1.61,1.12,1.273,0.22108,0.16197,0.0,0.0,33.33
30,50,1.6667,transfer,10,76.31,5.71,78.49,3.42,-2.18,-1.034,0.31772,0.52052,0.0,0.0,33.33
30,50,1.6667,recovery,10,79.98,2.89,78.5,2.0,1.48,1.332,0.20142,0.07566,0.0,0.0,33.33
30,60,2.0,transfer,10,68.57,9.26,70.55,5.99,-1.99,-0.57,0.57702,0.38467,0.0,0.0,33.33
30,60,2.0,recovery,10,77.77,4.05,76.04,2.84,1.73,1.103,0.28623,0.3447,0.0,0.0,33.33
30,70,2.3333,transfer,10,62.79,11.14,59.57,8.25,3.22,0.735,0.47277,0.47268,2e-05,0.0,33.33
30,70,2.3333,recovery,10,75.87,3.6,70.07,4.09,5.8,3.37,0.00347,0.0058,0.0,0.0,33.33
30,80,2.6667,transfer,10,59.52,11.79,48.31,7.72,11.21,2.515,0.02333,0.02575,6e-05,0.00017,33.33
30,80,2.6667,recovery,10,75.64,4.69,67.55,4.86,8.09,3.791,0.00134,0.00457,0.0,0.0,33.33
30,90,3.0,transfer,10,57.0,11.35,41.52,5.94,15.48,3.821,0.00197,0.00457,0.0001,0.00182,33.33
30,90,3.0,recovery,10,70.45,8.19,63.62,5.46,6.83,2.196,0.04348,0.04507,0.0,0.0,33.33
30,100,3.3333,transfer,10,53.73,10.63,38.37,3.92,15.36,4.285,0.00119,0.00283,0.00019,0.00282,33.33
30,100,3.3333,recovery,10,68.58,8.75,56.75,10.48,11.83,2.742,0.01368,0.02113,0.0,6e-05,33.33
30,110,3.6667,transfer,10,51.11,11.27,36.84,2.61,14.27,3.898,0.00299,0.00283,0.00075,0.00214,33.33
30,110,3.6667,recovery,10,66.64,9.25,52.93,10.1,13.71,3.166,0.00539,0.02113,0.0,0.00017,33.33
30,120,4.0,transfer,10,49.11,12.54,35.86,2.06,13.25,3.298,0.00863,0.00908,0.00321,0.0038,33.33
30,120,4.0,recovery,10,64.15,11.07,49.85,9.87,14.3,3.05,0.00697,0.01402,1e-05,0.0005,33.33
30,130,4.3333,transfer,10,48.3,12.85,35.31,2.11,12.99,3.153,0.01094,0.00911,0.00506,0.01607,33.33
30,130,4.3333,recovery,10,62.24,10.69,45.14,8.04,17.1,4.041,0.00088,0.00459,1e-05,0.00122,33.33
30,140,4.6667,transfer,10,46.66,11.98,35.05,2.33,11.61,3.008,0.01364,0.02831,0.00655,0.04458,33.33
30,140,4.6667,recovery,10,63.94,10.29,43.15,7.69,20.78,5.116,9e-05,0.00101,1e-05,0.00294,33.33
30,150,5.0,transfer,10,45.0,10.59,35.02,1.86,9.98,2.938,0.01555,0.00911,0.00687,0.01843,33.33
30,150,5.0,recovery,10,63.33,10.88,42.04,6.04,21.29,5.41,9e-05,0.00077,1e-05,0.00137,33.33
30,160,5.3333,transfer,10,44.12,9.28,34.25,1.73,9.87,3.305,0.00836,0.00249,0.00511,0.12676,33.33
30,160,5.3333,recovery,10,62.55,11.11,40.59,7.96,21.97,5.084,0.0001,0.00131,2e-05,0.0181,33.33
30,170,5.6667,transfer,10,43.23,8.88,33.61,2.18,9.61,3.325,0.0076,0.00044,0.00648,0.69395,33.33
30,170,5.6667,recovery,10,61.78,12.21,37.96,5.96,23.82,5.544,9e-05,0.00077,4e-05,0.03638,33.33
30,180,6.0,transfer,10,43.71,9.13,33.69,1.71,10.02,3.41,0.00703,0.00077,0.00581,0.5262,33.33
30,180,6.0,recovery,10,60.56,12.98,36.83,3.82,23.73,5.547,0.0002,0.00077,0.0001,0.01787,33.33
30,190,6.3333,transfer,10,44.07,8.45,33.75,1.43,10.31,3.804,0.00379,0.01722,0.00304,0.37989,33.33
30,190,6.3333,recovery,10,59.76,13.24,37.58,6.5,22.18,4.756,0.00037,0.00361,0.00014,0.06884,33.33
30,200,6.6667,transfer,10,43.89,8.56,33.74,0.97,10.14,3.724,0.00454,0.01726,0.00362,0.21591,33.33
30,200,6.6667,recovery,10,59.6,14.01,36.5,5.12,23.1,4.898,0.00043,0.00361,0.00022,0.08247,33.33
60,70,1.1667,transfer,10,81.89,4.11,82.36,3.81,-0.47,-0.265,0.79387,0.85011,0.0,0.0,33.33
60,70,1.1667,recovery,10,82.38,2.65,82.4,1.83,-0.02,-0.018,0.98586,0.73373,0.0,0.0,33.33
60,80,1.3333,transfer,10,76.13,6.21,77.37,5.43,-1.24,-0.475,0.64044,0.57075,0.0,0.0,33.33
60,80,1.3333,recovery,10,82.28,3.05,81.57,2.47,0.7,0.567,0.57775,0.52052,0.0,0.0,33.33
60,90,1.5,transfer,10,69.98,8.27,70.21,7.29,-0.23,-0.067,0.94739,0.76228,0.0,0.0,33.33
60,90,1.5,recovery,10,78.97,4.71,78.02,3.61,0.95,0.507,0.61842,0.42736,0.0,0.0,33.33
60,100,1.6667,transfer,10,63.89,10.78,61.93,9.59,1.97,0.431,0.67197,0.79134,1e-05,1e-05,33.33
60,100,1.6667,recovery,10,77.78,4.88,74.44,3.77,3.33,1.709,0.10574,0.06402,0.0,0.0,33.33
60,110,1.8333,transfer,10,59.44,11.99,53.93,10.0,5.51,1.115,0.27987,0.27304,7e-05,0.00011,33.33
60,110,1.8333,recovery,10,75.8,6.02,71.57,3.95,4.23,1.857,0.08234,0.0539,0.0,0.0,33.33
60,120,2.0,transfer,10,56.57,10.93,47.58,8.57,8.99,2.047,0.05645,0.0539,9e-05,0.00052,33.33
60,120,2.0,recovery,10,73.68,7.96,68.08,4.65,5.6,1.921,0.0746,0.01133,0.0,0.0,33.33
60,130,2.1667,transfer,10,54.62,9.12,43.05,6.5,11.57,3.267,0.00476,0.01258,4e-05,0.00108,33.33
60,130,2.1667,recovery,10,71.25,9.62,63.45,6.4,7.8,2.136,0.04882,0.01402,0.0,0.0,33.33
60,140,2.3333,transfer,10,53.54,8.36,40.09,4.95,13.45,4.379,0.00057,0.00459,3e-05,0.00195,33.33
60,140,2.3333,recovery,10,70.34,9.54,60.54,5.85,9.79,2.768,0.01442,0.00728,0.0,0.0,33.33
60,150,2.5,transfer,10,52.13,8.63,38.33,4.03,13.81,4.582,0.00054,0.00361,7e-05,0.00352,33.33
60,150,2.5,recovery,10,67.19,10.34,57.79,6.26,9.4,2.459,0.02672,0.04515,0.0,0.0,33.33
