K,in_training_range,count_acc_s2,vp_s2,count_acc_s3,vp_s3,count_acc_s4,vp_s4,count_acc_mean,count_acc_sd,vp_mean,vp_sd
2,yes,100.00,1.0000,100.00,0.9893,100.00,0.9987,100.00,0.00,0.9960,0.0047
3,yes,100.00,0.9990,100.00,0.9952,100.00,0.9990,100.00,0.00,0.9978,0.0018
4,yes,100.00,1.0000,100.00,0.9970,100.00,0.9985,100.00,0.00,0.9985,0.0012
5,yes,100.00,0.9994,100.00,0.9964,100.00,1.0000,100.00,0.00,0.9986,0.0016
6,yes,100.00,0.9995,100.00,0.9979,100.00,0.9985,100.00,0.00,0.9987,0.0006
7,no,100.00,0.9777,100.00,0.9915,100.00,0.9837,100.00,0.00,0.9843,0.0057
8,no,99.33,0.8391,100.00,0.8065,100.00,0.7271,99.78,0.31,0.7909,0.0471
9,no,98.00,0.5836,100.00,0.5108,100.00,0.3422,99.33,0.94,0.4789,0.1011
10,no,98.67,0.3179,100.00,0.2289,100.00,0.2020,99.56,0.63,0.2496,0.0495
11,no,87.33,0.1881,99.33,0.1684,96.67,0.1487,94.44,5.14,0.1684,0.0161
12,no,77.33,0.1420,94.67,0.1289,90.67,0.1153,87.56,7.41,0.1287,0.0109
13,no,56.00,0.1169,90.67,0.1125,76.67,0.0986,74.44,14.24,0.1094,0.0078
14,no,38.00,0.0987,79.33,0.0968,53.33,0.0863,56.89,17.06,0.0939,0.0055
15,no,21.33,0.0842,78.67,0.0890,26.67,0.0749,42.22,25.86,0.0827,0.0059
16,no,10.00,0.0766,75.33,0.0809,17.33,0.0699,34.22,29.22,0.0758,0.0045
