architecture,base_seed,retime_seed,episode,acc_pct
LSTM H=50,1,90,0,36.3
LSTM H=50,1,90,200,34.85
LSTM H=50,1,90,400,36.1
LSTM H=50,1,90,600,38.25
LSTM H=50,1,90,800,37.55
LSTM H=50,1,90,1000,37.75
LSTM H=50,1,90,1200,37.95
LSTM H=50,1,90,1400,39.05
LSTM H=50,1,90,1600,38.85
LSTM H=50,1,90,1800,37.1
LSTM H=50,1,90,2000,40.4
LSTM H=50,1,91,0,34.7
LSTM H=50,1,91,200,35.65
LSTM H=50,1,91,400,40.05
LSTM H=50,1,91,600,38.3
LSTM H=50,1,91,800,38.1
LSTM H=50,1,91,1000,38.05
LSTM H=50,1,91,1200,38.05
LSTM H=50,1,91,1400,38.75
LSTM H=50,1,91,1600,37.45
LSTM H=50,1,91,1800,38.05
LSTM H=50,1,91,2000,36.7
LSTM H=50,1,92,0,34.95
LSTM H=50,1,92,200,35.55
LSTM H=50,1,92,400,34.85
LSTM H=50,1,92,600,36.1
LSTM H=50,1,92,800,36.15
LSTM H=50,1,92,1000,37.8
LSTM H=50,1,92,1200,38.25
LSTM H=50,1,92,1400,37.55
LSTM H=50,1,92,1600,38.7
LSTM H=50,1,92,1800,38.9
LSTM H=50,1,92,2000,39.9
LSTM H=50,2,90,0,41.95
LSTM H=50,2,90,200,38.6
LSTM H=50,2,90,400,37.2
LSTM H=50,2,90,600,39.9
LSTM H=50,2,90,800,38.4
LSTM H=50,2,90,1000,39.15
LSTM H=50,2,90,1200,38.95
LSTM H=50,2,90,1400,40.4
LSTM H=50,2,90,1600,41.0
LSTM H=50,2,90,1800,37.2
LSTM H=50,2,90,2000,39.6
LSTM H=50,2,91,0,40.7
LSTM H=50,2,91,200,39.0
LSTM H=50,2,91,400,40.4
LSTM H=50,2,91,600,37.75
LSTM H=50,2,91,800,39.1
LSTM H=50,2,91,1000,41.05
LSTM H=50,2,91,1200,38.3
LSTM H=50,2,91,1400,40.0
LSTM H=50,2,91,1600,40.95
LSTM H=50,2,91,1800,40.7
LSTM H=50,2,91,2000,38.75
LSTM H=50,2,92,0,39.65
LSTM H=50,2,92,200,36.95
LSTM H=50,2,92,400,38.0
LSTM H=50,2,92,600,37.6
LSTM H=50,2,92,800,39.5
LSTM H=50,2,92,1000,40.65
LSTM H=50,2,92,1200,39.15
LSTM H=50,2,92,1400,38.4
LSTM H=50,2,92,1600,37.9
LSTM H=50,2,92,1800,39.9
LSTM H=50,2,92,2000,39.45
LSTM H=50,72,90,0,58.9
LSTM H=50,72,90,200,55.5
LSTM H=50,72,90,400,57.5
LSTM H=50,72,90,600,58.0
LSTM H=50,72,90,800,58.4
LSTM H=50,72,90,1000,58.0
LSTM H=50,72,90,1200,58.5
LSTM H=50,72,90,1400,55.55
LSTM H=50,72,90,1600,57.65
LSTM H=50,72,90,1800,57.15
LSTM H=50,72,90,2000,58.95
LSTM H=50,72,91,0,60.15
LSTM H=50,72,91,200,59.8
LSTM H=50,72,91,400,59.7
LSTM H=50,72,91,600,56.0
LSTM H=50,72,91,800,57.35
LSTM H=50,72,91,1000,57.55
LSTM H=50,72,91,1200,56.75
LSTM H=50,72,91,1400,58.85
LSTM H=50,72,91,1600,55.25
LSTM H=50,72,91,1800,55.9
LSTM H=50,72,91,2000,56.05
LSTM H=50,72,92,0,59.4
LSTM H=50,72,92,200,57.4
LSTM H=50,72,92,400,54.8
LSTM H=50,72,92,600,54.65
LSTM H=50,72,92,800,56.65
LSTM H=50,72,92,1000,56.9
LSTM H=50,72,92,1200,56.5
LSTM H=50,72,92,1400,52.95
LSTM H=50,72,92,1600,58.9
LSTM H=50,72,92,1800,58.25
LSTM H=50,72,92,2000,58.1
SSM random,72,90,0,37.5
SSM random,72,90,200,43.85
SSM random,72,90,400,48.55
SSM random,72,90,600,51.85
SSM random,72,90,800,54.0
SSM random,72,90,1000,56.65
SSM random,72,90,1200,57.75
SSM random,72,90,1400,61.2
SSM random,72,90,1600,59.8
SSM random,72,90,1800,64.9
SSM random,72,90,2000,62.85
SSM random,2,90,0,40.95
SSM random,2,90,200,49.35
SSM random,2,90,400,46.25
SSM random,2,90,600,48.4
SSM random,2,90,800,49.7
SSM random,2,90,1000,51.8
SSM random,2,90,1200,51.75
SSM random,2,90,1400,55.0
SSM random,2,90,1600,51.1
SSM random,2,90,1800,57.55
SSM random,2,90,2000,55.6
SSM random,1,90,0,38.85
SSM random,1,90,200,43.95
SSM random,1,90,400,47.8
SSM random,1,90,600,56.2
SSM random,1,90,800,57.55
SSM random,1,90,1000,60.35
SSM random,1,90,1200,63.65
SSM random,1,90,1400,62.65
SSM random,1,90,1600,62.2
SSM random,1,90,1800,64.55
SSM random,1,90,2000,63.2
SSM HiPPO,72,90,0,51.85
SSM HiPPO,72,90,200,64.45
SSM HiPPO,72,90,400,68.85
SSM HiPPO,72,90,600,66.0
SSM HiPPO,72,90,800,69.1
SSM HiPPO,72,90,1000,68.45
SSM HiPPO,72,90,1200,68.35
SSM HiPPO,72,90,1400,69.3
SSM HiPPO,72,90,1600,73.85
SSM HiPPO,72,90,1800,72.75
SSM HiPPO,72,90,2000,72.4
SSM HiPPO,1,90,0,33.6
SSM HiPPO,1,90,200,33.4
SSM HiPPO,1,90,400,34.45
SSM HiPPO,1,90,600,35.25
SSM HiPPO,1,90,800,37.15
SSM HiPPO,1,90,1000,40.15
SSM HiPPO,1,90,1200,43.05
SSM HiPPO,1,90,1400,46.4
SSM HiPPO,1,90,1600,49.5
SSM HiPPO,1,90,1800,51.95
SSM HiPPO,1,90,2000,50.65
SSM HiPPO,2,90,0,59.2
SSM HiPPO,2,90,200,63.5
SSM HiPPO,2,90,400,67.65
SSM HiPPO,2,90,600,70.75
SSM HiPPO,2,90,800,75.0
SSM HiPPO,2,90,1000,74.0
SSM HiPPO,2,90,1200,73.8
SSM HiPPO,2,90,1400,71.6
SSM HiPPO,2,90,1600,73.2
SSM HiPPO,2,90,1800,73.45
SSM HiPPO,2,90,2000,73.15
SSM random,2,91,0,41.4
SSM random,2,91,200,50.3
SSM random,2,91,400,49.3
SSM random,2,91,600,48.05
SSM random,2,91,800,54.3
SSM random,2,91,1000,53.3
SSM random,2,91,1200,52.05
SSM random,2,91,1400,56.5
SSM random,2,91,1600,57.35
SSM random,2,91,1800,59.35
SSM random,2,91,2000,59.5
SSM HiPPO,72,91,0,52.0
SSM HiPPO,72,91,200,67.65
SSM HiPPO,72,91,400,68.65
SSM HiPPO,72,91,600,69.25
SSM HiPPO,72,91,800,69.95
SSM HiPPO,72,91,1000,70.75
SSM HiPPO,72,91,1200,75.85
SSM HiPPO,72,91,1400,72.65
SSM HiPPO,72,91,1600,74.35
SSM HiPPO,72,91,1800,73.5
SSM HiPPO,72,91,2000,73.6
SSM HiPPO,1,91,0,35.25
SSM HiPPO,1,91,200,35.65
SSM HiPPO,1,91,400,36.45
SSM HiPPO,1,91,600,34.95
SSM HiPPO,1,91,800,36.5
SSM HiPPO,1,91,1000,38.9
SSM HiPPO,1,91,1200,38.95
SSM HiPPO,1,91,1400,41.5
SSM HiPPO,1,91,1600,46.2
SSM HiPPO,1,91,1800,52.15
SSM HiPPO,1,91,2000,50.85
SSM random,1,91,0,38.85
SSM random,1,91,200,46.9
SSM random,1,91,400,57.5
SSM random,1,91,600,59.85
SSM random,1,91,800,64.0
SSM random,1,91,1000,63.2
SSM random,1,91,1200,62.7
SSM random,1,91,1400,65.5
SSM random,1,91,1600,63.65
SSM random,1,91,1800,66.85
SSM random,1,91,2000,65.35
SSM random,72,91,0,38.15
SSM random,72,91,200,42.6
SSM random,72,91,400,50.4
SSM random,72,91,600,52.1
SSM random,72,91,800,54.95
SSM random,72,91,1000,52.9
SSM random,72,91,1200,55.8
SSM random,72,91,1400,56.2
SSM random,72,91,1600,60.05
SSM random,72,91,1800,62.85
SSM random,72,91,2000,61.15
SSM HiPPO,2,91,0,55.7
SSM HiPPO,2,91,200,61.2
SSM HiPPO,2,91,400,69.3
SSM HiPPO,2,91,600,71.8
SSM HiPPO,2,91,800,71.8
SSM HiPPO,2,91,1000,73.8
SSM HiPPO,2,91,1200,75.85
SSM HiPPO,2,91,1400,74.3
SSM HiPPO,2,91,1600,76.0
SSM HiPPO,2,91,1800,74.85
SSM HiPPO,2,91,2000,73.25
SSM random,2,92,0,39.25
SSM random,2,92,200,51.05
SSM random,2,92,400,50.65
SSM random,2,92,600,52.5
SSM random,2,92,800,51.85
SSM random,2,92,1000,51.15
SSM random,2,92,1200,51.65
SSM random,2,92,1400,54.55
SSM random,2,92,1600,53.8
SSM random,2,92,1800,57.4
SSM random,2,92,2000,58.3
SSM random,72,92,0,37.6
SSM random,72,92,200,45.4
SSM random,72,92,400,49.4
SSM random,72,92,600,51.8
SSM random,72,92,800,55.6
SSM random,72,92,1000,57.4
SSM random,72,92,1200,59.05
SSM random,72,92,1400,60.5
SSM random,72,92,1600,62.45
SSM random,72,92,1800,66.2
SSM random,72,92,2000,65.3
SSM HiPPO,72,92,0,52.05
SSM HiPPO,72,92,200,66.7
SSM HiPPO,72,92,400,67.95
SSM HiPPO,72,92,600,68.95
SSM HiPPO,72,92,800,69.05
SSM HiPPO,72,92,1000,68.55
SSM HiPPO,72,92,1200,69.55
SSM HiPPO,72,92,1400,67.9
SSM HiPPO,72,92,1600,74.55
SSM HiPPO,72,92,1800,73.5
SSM HiPPO,72,92,2000,75.1
SSM HiPPO,1,92,0,33.8
SSM HiPPO,1,92,200,33.85
SSM HiPPO,1,92,400,35.95
SSM HiPPO,1,92,600,37.1
SSM HiPPO,1,92,800,37.0
SSM HiPPO,1,92,1000,37.9
SSM HiPPO,1,92,1200,42.55
SSM HiPPO,1,92,1400,46.35
SSM HiPPO,1,92,1600,48.75
SSM HiPPO,1,92,1800,50.5
SSM HiPPO,1,92,2000,52.5
SSM random,1,92,0,37.3
SSM random,1,92,200,48.85
SSM random,1,92,400,54.8
SSM random,1,92,600,62.6
SSM random,1,92,800,66.4
SSM random,1,92,1000,64.3
SSM random,1,92,1200,66.5
SSM random,1,92,1400,66.85
SSM random,1,92,1600,66.85
SSM random,1,92,1800,68.55
SSM random,1,92,2000,68.65
SSM HiPPO,2,92,0,57.25
SSM HiPPO,2,92,200,61.15
