parameter,symbol,mode,scope,n_seeds,n_elements,min,mean,median,max,submitted_single_run
Lambda,|dlambda| / |lambda_init|,hippo,pooled,10,500,0.019179,0.650197,0.614659,3.478752,0.37
Lambda,|dlambda| / |lambda_init|,hippo,seed 1,1,50,0.019179,0.655039,0.725651,1.353048,
Lambda,|dlambda| / |lambda_init|,hippo,seed 2,1,50,0.019179,0.633488,0.540215,3.478752,
Lambda,|dlambda| / |lambda_init|,hippo,seed 3,1,50,0.019179,0.629059,0.564282,1.886412,
Lambda,|dlambda| / |lambda_init|,hippo,seed 4,1,50,0.019179,0.70937,0.671109,2.779278,
Lambda,|dlambda| / |lambda_init|,hippo,seed 5,1,50,0.019179,0.63899,0.592515,2.965224,
Lambda,|dlambda| / |lambda_init|,hippo,seed 6,1,50,0.019179,0.661492,0.711146,1.338216,
Lambda,|dlambda| / |lambda_init|,hippo,seed 7,1,50,0.019179,0.601065,0.520965,2.461788,
Lambda,|dlambda| / |lambda_init|,hippo,seed 8,1,50,0.019179,0.619654,0.528901,1.895648,
Lambda,|dlambda| / |lambda_init|,hippo,seed 9,1,50,0.019179,0.699786,0.653051,2.982519,
Lambda,|dlambda| / |lambda_init|,hippo,seed 72,1,50,0.019179,0.654029,0.64336,1.807211,
Lambda,|dlambda| / |lambda_init|,rand_complex,pooled,10,500,0.056629,1.234218,1.016042,9.990954,1.6
Lambda,|dlambda| / |lambda_init|,rand_complex,seed 1,1,50,0.129065,1.112487,1.001974,2.734142,
Lambda,|dlambda| / |lambda_init|,rand_complex,seed 2,1,50,0.29879,1.146182,0.991217,2.653446,
Lambda,|dlambda| / |lambda_init|,rand_complex,seed 3,1,50,0.601341,1.56048,1.018144,9.990954,
Lambda,|dlambda| / |lambda_init|,rand_complex,seed 4,1,50,0.376264,1.254126,0.997795,7.548677,
Lambda,|dlambda| / |lambda_init|,rand_complex,seed 5,1,50,0.301267,1.309234,1.03559,5.502446,
Lambda,|dlambda| / |lambda_init|,rand_complex,seed 6,1,50,0.364634,1.181022,1.017672,2.667329,
Lambda,|dlambda| / |lambda_init|,rand_complex,seed 7,1,50,0.273052,1.119223,1.045427,2.721523,
Lambda,|dlambda| / |lambda_init|,rand_complex,seed 8,1,50,0.300274,1.334514,1.00198,5.586754,
Lambda,|dlambda| / |lambda_init|,rand_complex,seed 9,1,50,0.056629,1.119389,1.012443,2.986244,
Lambda,|dlambda| / |lambda_init|,rand_complex,seed 72,1,50,0.47554,1.20552,1.088282,3.439762,
Lambda_bar,|dlambda_bar| / |lambda_bar_init|,hippo,pooled,10,500,0.000203,0.204534,0.009746,2.000877,
Lambda_bar,|dlambda_bar| / |lambda_bar_init|,hippo,seed 1,1,50,0.000455,0.296587,0.01114,1.994204,
Lambda_bar,|dlambda_bar| / |lambda_bar_init|,hippo,seed 2,1,50,0.000253,0.136246,0.009759,1.997341,
Lambda_bar,|dlambda_bar| / |lambda_bar_init|,hippo,seed 3,1,50,0.000498,0.20538,0.009595,1.860244,
Lambda_bar,|dlambda_bar| / |lambda_bar_init|,hippo,seed 4,1,50,0.000323,0.294702,0.009962,1.998439,
Lambda_bar,|dlambda_bar| / |lambda_bar_init|,hippo,seed 5,1,50,0.000593,0.25708,0.009307,2.000877,
Lambda_bar,|dlambda_bar| / |lambda_bar_init|,hippo,seed 6,1,50,0.000203,0.155869,0.009098,1.962541,
Lambda_bar,|dlambda_bar| / |lambda_bar_init|,hippo,seed 7,1,50,0.000263,0.129419,0.010161,2.000332,
Lambda_bar,|dlambda_bar| / |lambda_bar_init|,hippo,seed 8,1,50,0.000445,0.175973,0.006881,1.954722,
Lambda_bar,|dlambda_bar| / |lambda_bar_init|,hippo,seed 9,1,50,0.000571,0.179652,0.01121,1.986808,
Lambda_bar,|dlambda_bar| / |lambda_bar_init|,hippo,seed 72,1,50,0.000252,0.214427,0.012638,1.867883,
Lambda_bar,|dlambda_bar| / |lambda_bar_init|,rand_complex,pooled,10,500,3.2e-05,0.003311,0.001513,0.022147,
Lambda_bar,|dlambda_bar| / |lambda_bar_init|,rand_complex,seed 1,1,50,3.7e-05,0.002793,0.001282,0.013884,
Lambda_bar,|dlambda_bar| / |lambda_bar_init|,rand_complex,seed 2,1,50,0.000124,0.003332,0.001241,0.015544,
Lambda_bar,|dlambda_bar| / |lambda_bar_init|,rand_complex,seed 3,1,50,4e-05,0.003664,0.001385,0.015981,
Lambda_bar,|dlambda_bar| / |lambda_bar_init|,rand_complex,seed 4,1,50,0.000178,0.003038,0.001458,0.022147,
Lambda_bar,|dlambda_bar| / |lambda_bar_init|,rand_complex,seed 5,1,50,9.7e-05,0.003485,0.001882,0.018168,
Lambda_bar,|dlambda_bar| / |lambda_bar_init|,rand_complex,seed 6,1,50,0.000143,0.003065,0.001555,0.015672,
Lambda_bar,|dlambda_bar| / |lambda_bar_init|,rand_complex,seed 7,1,50,3.2e-05,0.003281,0.001576,0.017909,
Lambda_bar,|dlambda_bar| / |lambda_bar_init|,rand_complex,seed 8,1,50,3.7e-05,0.00308,0.001582,0.013425,
Lambda_bar,|dlambda_bar| / |lambda_bar_init|,rand_complex,seed 9,1,50,0.000192,0.004131,0.001853,0.017547,
Lambda_bar,|dlambda_bar| / |lambda_bar_init|,rand_complex,seed 72,1,50,6.6e-05,0.003241,0.001379,0.021023,
B,|dB| / |B_init|,hippo,pooled,10,1500,0.053938,0.96158,0.960566,3.179018,0.83
B,|dB| / |B_init|,hippo,seed 1,1,150,0.10712,1.0207,0.998845,3.179018,
B,|dB| / |B_init|,hippo,seed 2,1,150,0.093175,0.931082,0.902574,2.771917,
B,|dB| / |B_init|,hippo,seed 3,1,150,0.092096,0.932357,0.923585,2.638102,
B,|dB| / |B_init|,hippo,seed 4,1,150,0.116011,1.022258,1.0,2.431143,
B,|dB| / |B_init|,hippo,seed 5,1,150,0.161652,0.933991,0.911876,2.996902,
B,|dB| / |B_init|,hippo,seed 6,1,150,0.111593,0.971445,0.952423,2.488652,
B,|dB| / |B_init|,hippo,seed 7,1,150,0.059767,0.950503,0.918935,2.708696,
B,|dB| / |B_init|,hippo,seed 8,1,150,0.105379,0.903201,0.921552,2.39791,
B,|dB| / |B_init|,hippo,seed 9,1,150,0.053938,0.950032,0.949745,3.072558,
B,|dB| / |B_init|,hippo,seed 72,1,150,0.082526,1.00023,0.98428,2.701795,
B,|dB| / |B_init|,rand_complex,pooled,10,1500,0.026985,1.664231,1.050771,131.798965,2.16
B,|dB| / |B_init|,rand_complex,seed 1,1,150,0.026985,1.18613,0.98996,7.072482,
B,|dB| / |B_init|,rand_complex,seed 2,1,150,0.155029,1.698575,0.972535,14.61859,
B,|dB| / |B_init|,rand_complex,seed 3,1,150,0.121832,1.901485,1.019348,23.494671,
B,|dB| / |B_init|,rand_complex,seed 4,1,150,0.073252,1.419974,1.07685,17.424445,
B,|dB| / |B_init|,rand_complex,seed 5,1,150,0.085049,1.521067,1.109636,7.822383,
B,|dB| / |B_init|,rand_complex,seed 6,1,150,0.137195,1.217211,1.038916,5.744534,
B,|dB| / |B_init|,rand_complex,seed 7,1,150,0.124472,1.50536,1.133261,11.192911,
B,|dB| / |B_init|,rand_complex,seed 8,1,150,0.072286,1.68859,1.150121,26.521348,
B,|dB| / |B_init|,rand_complex,seed 9,1,150,0.052387,1.400783,1.053164,9.251748,
B,|dB| / |B_init|,rand_complex,seed 72,1,150,0.161701,3.103139,1.025901,131.798965,
C_tilde,|dC| / |C_init|,hippo,pooled,10,25000,0.011299,2.576399,1.100754,656.102844,
C_tilde,|dC| / |C_init|,hippo,seed 1,1,2500,0.03179,2.066835,1.03137,116.781122,
C_tilde,|dC| / |C_init|,hippo,seed 2,1,2500,0.096619,3.092188,1.201595,574.257074,
C_tilde,|dC| / |C_init|,hippo,seed 3,1,2500,0.069232,2.52411,1.073489,240.010183,
C_tilde,|dC| / |C_init|,hippo,seed 4,1,2500,0.024674,2.284412,1.033621,300.652246,
C_tilde,|dC| / |C_init|,hippo,seed 5,1,2500,0.011299,2.295735,1.097762,132.367552,
C_tilde,|dC| / |C_init|,hippo,seed 6,1,2500,0.127539,2.170359,1.04326,102.36317,
C_tilde,|dC| / |C_init|,hippo,seed 7,1,2500,0.031651,3.091891,1.300829,136.261844,
C_tilde,|dC| / |C_init|,hippo,seed 8,1,2500,0.027908,2.443973,1.081503,167.283179,
C_tilde,|dC| / |C_init|,hippo,seed 9,1,2500,0.054934,3.307651,1.473648,656.102844,
C_tilde,|dC| / |C_init|,hippo,seed 72,1,2500,0.086176,2.486838,1.124914,59.263902,
C_tilde,|dC| / |C_init|,rand_complex,pooled,10,25000,0.039994,1.968414,1.081771,190.553962,
C_tilde,|dC| / |C_init|,rand_complex,seed 1,1,2500,0.115859,2.046503,1.057037,105.607641,
C_tilde,|dC| / |C_init|,rand_complex,seed 2,1,2500,0.082174,1.958552,1.120875,74.348002,
C_tilde,|dC| / |C_init|,rand_complex,seed 3,1,2500,0.053986,1.771506,1.029069,47.457274,
C_tilde,|dC| / |C_init|,rand_complex,seed 4,1,2500,0.087035,1.990275,1.089125,90.541215,
C_tilde,|dC| / |C_init|,rand_complex,seed 5,1,2500,0.082862,2.103572,1.145097,42.319345,
C_tilde,|dC| / |C_init|,rand_complex,seed 6,1,2500,0.050185,1.959866,1.095343,52.37109,
C_tilde,|dC| / |C_init|,rand_complex,seed 7,1,2500,0.047598,1.87827,1.081892,77.902315,
C_tilde,|dC| / |C_init|,rand_complex,seed 8,1,2500,0.051725,2.261598,1.064917,190.553962,
C_tilde,|dC| / |C_init|,rand_complex,seed 9,1,2500,0.073366,1.858442,1.064585,71.470109,
C_tilde,|dC| / |C_init|,rand_complex,seed 72,1,2500,0.039994,1.855551,1.081921,76.891346,
