D_train,D_test,ratio,mode,phase,base_seed,acc_pct_mean_over_retime_seeds,n_retime_seeds
30,30,1.0,hippo,recovery,1,82.15,3
30,30,1.0,hippo,recovery,2,87.9,3
30,30,1.0,hippo,recovery,3,84.333,3
30,30,1.0,hippo,recovery,4,84.75,3
30,30,1.0,hippo,recovery,5,84.35,3
30,30,1.0,hippo,recovery,6,87.05,3
30,30,1.0,hippo,recovery,7,85.667,3
30,30,1.0,hippo,recovery,8,85.35,3
30,30,1.0,hippo,recovery,9,83.883,3
30,30,1.0,hippo,recovery,72,85.383,3
30,30,1.0,hippo,transfer,1,84.283,3
30,30,1.0,hippo,transfer,2,89.517,3
30,30,1.0,hippo,transfer,3,86.633,3
30,30,1.0,hippo,transfer,4,84.383,3
30,30,1.0,hippo,transfer,5,86.3,3
30,30,1.0,hippo,transfer,6,88.3,3
30,30,1.0,hippo,transfer,7,86.533,3
30,30,1.0,hippo,transfer,8,87.133,3
30,30,1.0,hippo,transfer,9,85.683,3
30,30,1.0,hippo,transfer,72,86.867,3
30,30,1.0,rand_complex,recovery,1,81.683,3
30,30,1.0,rand_complex,recovery,2,83.567,3
30,30,1.0,rand_complex,recovery,3,80.95,3
30,30,1.0,rand_complex,recovery,4,81.667,3
30,30,1.0,rand_complex,recovery,5,81.55,3
30,30,1.0,rand_complex,recovery,6,81.067,3
30,30,1.0,rand_complex,recovery,7,85.117,3
30,30,1.0,rand_complex,recovery,8,82.533,3
30,30,1.0,rand_complex,recovery,9,83.117,3
30,30,1.0,rand_complex,recovery,72,83.3,3
30,30,1.0,rand_complex,transfer,1,85.033,3
30,30,1.0,rand_complex,transfer,2,87.533,3
30,30,1.0,rand_complex,transfer,3,83.6,3
30,30,1.0,rand_complex,transfer,4,84.4,3
30,30,1.0,rand_complex,transfer,5,83.733,3
30,30,1.0,rand_complex,transfer,6,84.8,3
30,30,1.0,rand_complex,transfer,7,86.817,3
30,30,1.0,rand_complex,transfer,8,86.0,3
30,30,1.0,rand_complex,transfer,9,86.117,3
30,30,1.0,rand_complex,transfer,72,85.567,3
30,40,1.3333,hippo,recovery,1,77.4,3
30,40,1.3333,hippo,recovery,2,86.017,3
30,40,1.3333,hippo,recovery,3,81.45,3
30,40,1.3333,hippo,recovery,4,82.283,3
30,40,1.3333,hippo,recovery,5,82.383,3
30,40,1.3333,hippo,recovery,6,84.4,3
30,40,1.3333,hippo,recovery,7,82.733,3
30,40,1.3333,hippo,recovery,8,81.25,3
30,40,1.3333,hippo,recovery,9,83.6,3
30,40,1.3333,hippo,recovery,72,81.833,3
30,40,1.3333,hippo,transfer,1,77.217,3
30,40,1.3333,hippo,transfer,2,86.283,3
30,40,1.3333,hippo,transfer,3,83.183,3
30,40,1.3333,hippo,transfer,4,80.883,3
30,40,1.3333,hippo,transfer,5,83.417,3
30,40,1.3333,hippo,transfer,6,83.783,3
30,40,1.3333,hippo,transfer,7,80.867,3
30,40,1.3333,hippo,transfer,8,80.533,3
30,40,1.3333,hippo,transfer,9,83.5,3
30,40,1.3333,hippo,transfer,72,81.917,3
30,40,1.3333,rand_complex,recovery,1,80.433,3
30,40,1.3333,rand_complex,recovery,2,82.067,3
30,40,1.3333,rand_complex,recovery,3,79.883,3
30,40,1.3333,rand_complex,recovery,4,78.85,3
30,40,1.3333,rand_complex,recovery,5,79.267,3
30,40,1.3333,rand_complex,recovery,6,81.05,3
30,40,1.3333,rand_complex,recovery,7,83.983,3
30,40,1.3333,rand_complex,recovery,8,81.917,3
30,40,1.3333,rand_complex,recovery,9,82.533,3
30,40,1.3333,rand_complex,recovery,72,82.183,3
30,40,1.3333,rand_complex,transfer,1,83.467,3
30,40,1.3333,rand_complex,transfer,2,85.567,3
30,40,1.3333,rand_complex,transfer,3,80.633,3
30,40,1.3333,rand_complex,transfer,4,80.583,3
30,40,1.3333,rand_complex,transfer,5,82.0,3
30,40,1.3333,rand_complex,transfer,6,83.8,3
30,40,1.3333,rand_complex,transfer,7,85.717,3
30,40,1.3333,rand_complex,transfer,8,84.383,3
30,40,1.3333,rand_complex,transfer,9,81.933,3
30,40,1.3333,rand_complex,transfer,72,85.05,3
30,50,1.6667,hippo,recovery,1,73.267,3
30,50,1.6667,hippo,recovery,2,83.183,3
30,50,1.6667,hippo,recovery,3,77.333,3
30,50,1.6667,hippo,recovery,4,80.383,3
30,50,1.6667,hippo,recovery,5,80.6,3
30,50,1.6667,hippo,recovery,6,81.933,3
30,50,1.6667,hippo,recovery,7,79.3,3
30,50,1.6667,hippo,recovery,8,81.017,3
30,50,1.6667,hippo,recovery,9,82.6,3
30,50,1.6667,hippo,recovery,72,80.183,3
30,50,1.6667,hippo,transfer,1,65.067,3
30,50,1.6667,hippo,transfer,2,81.733,3
30,50,1.6667,hippo,transfer,3,79.883,3
