kind,seed,panel,unit_row,column,lap,phase_bin,value
trained,2,globalnorm,0,0,1,0,1.0
trained,2,globalnorm,0,1,1,1,0.99244
trained,2,globalnorm,0,2,1,2,0.97786
trained,2,globalnorm,0,3,1,3,0.96209
trained,2,globalnorm,0,4,1,4,0.94584
trained,2,globalnorm,0,5,1,5,0.9286
trained,2,globalnorm,0,6,1,6,0.91104
trained,2,globalnorm,0,7,1,7,0.89449
trained,2,globalnorm,0,8,1,8,0.87775
trained,2,globalnorm,0,9,1,9,0.86175
trained,2,globalnorm,0,10,1,10,0.84523
trained,2,globalnorm,0,11,1,11,0.82862
trained,2,globalnorm,0,12,1,12,0.81164
trained,2,globalnorm,0,13,1,13,0.79462
trained,2,globalnorm,0,14,1,14,0.77874
trained,2,globalnorm,0,15,1,15,0.7624
trained,2,globalnorm,0,16,1,16,0.74536
trained,2,globalnorm,0,17,1,17,0.72832
trained,2,globalnorm,0,18,1,18,0.71211
trained,2,globalnorm,0,19,1,19,0.69819
trained,2,globalnorm,0,20,1,20,0.68209
trained,2,globalnorm,0,21,1,21,0.66366
trained,2,globalnorm,0,22,1,22,0.64724
trained,2,globalnorm,0,23,1,23,0.63154
trained,2,globalnorm,0,24,1,24,0.61549
trained,2,globalnorm,0,25,1,25,0.59829
trained,2,globalnorm,0,26,1,26,0.5816
trained,2,globalnorm,0,27,1,27,0.56542
trained,2,globalnorm,0,28,1,28,0.54923
trained,2,globalnorm,0,29,1,29,0.53374
trained,2,globalnorm,0,30,1,30,0.51793
trained,2,globalnorm,0,31,1,31,0.50194
trained,2,globalnorm,0,32,1,32,0.48604
trained,2,globalnorm,0,33,1,33,0.46947
trained,2,globalnorm,0,34,1,34,0.45376
trained,2,globalnorm,0,35,1,35,0.43771
trained,2,globalnorm,0,36,1,36,0.42126
trained,2,globalnorm,0,37,1,37,0.40947
trained,2,globalnorm,0,38,1,38,0.40962
trained,2,globalnorm,0,39,1,39,0.48167
trained,2,globalnorm,0,40,2,0,0.48697
trained,2,globalnorm,0,41,2,1,0.4799
trained,2,globalnorm,0,42,2,2,0.46522
trained,2,globalnorm,0,43,2,3,0.44924
trained,2,globalnorm,0,44,2,4,0.4332
trained,2,globalnorm,0,45,2,5,0.41716
trained,2,globalnorm,0,46,2,6,0.40115
trained,2,globalnorm,0,47,2,7,0.38469
trained,2,globalnorm,0,48,2,8,0.36824
trained,2,globalnorm,0,49,2,9,0.35256
trained,2,globalnorm,0,50,2,10,0.33652
trained,2,globalnorm,0,51,2,11,0.32013
trained,2,globalnorm,0,52,2,12,0.3042
trained,2,globalnorm,0,53,2,13,0.28768
trained,2,globalnorm,0,54,2,14,0.27204
trained,2,globalnorm,0,55,2,15,0.25644
trained,2,globalnorm,0,56,2,16,0.2393
trained,2,globalnorm,0,57,2,17,0.223
trained,2,globalnorm,0,58,2,18,0.20729
trained,2,globalnorm,0,59,2,19,0.1927
trained,2,globalnorm,0,60,2,20,0.17792
trained,2,globalnorm,0,61,2,21,0.1608
trained,2,globalnorm,0,62,2,22,0.14505
trained,2,globalnorm,0,63,2,23,0.12983
trained,2,globalnorm,0,64,2,24,0.11383
trained,2,globalnorm,0,65,2,25,0.09829
trained,2,globalnorm,0,66,2,26,0.08275
trained,2,globalnorm,0,67,2,27,0.06676
trained,2,globalnorm,0,68,2,28,0.05163
trained,2,globalnorm,0,69,2,29,0.03672
trained,2,globalnorm,0,70,2,30,0.02094
trained,2,globalnorm,0,71,2,31,0.00546
trained,2,globalnorm,0,72,2,32,-0.01062
trained,2,globalnorm,0,73,2,33,-0.0271
trained,2,globalnorm,0,74,2,34,-0.04211
trained,2,globalnorm,0,75,2,35,-0.05744
trained,2,globalnorm,0,76,2,36,-0.07342
trained,2,globalnorm,0,77,2,37,-0.08703
trained,2,globalnorm,0,78,2,38,-0.09056
trained,2,globalnorm,0,79,2,39,-0.0137
trained,2,globalnorm,0,80,3,0,-0.00597
trained,2,globalnorm,0,81,3,1,-0.01201
trained,2,globalnorm,0,82,3,2,-0.02597
trained,2,globalnorm,0,83,3,3,-0.04092
trained,2,globalnorm,0,84,3,4,-0.05598
trained,2,globalnorm,0,85,3,5,-0.07118
trained,2,globalnorm,0,86,3,6,-0.08681
trained,2,globalnorm,0,87,3,7,-0.10183
trained,2,globalnorm,0,88,3,8,-0.1171
trained,2,globalnorm,0,89,3,9,-0.13266
trained,2,globalnorm,0,90,3,10,-0.14798
trained,2,globalnorm,0,91,3,11,-0.16328
trained,2,globalnorm,0,92,3,12,-0.17886
trained,2,globalnorm,0,93,3,13,-0.19386
trained,2,globalnorm,0,94,3,14,-0.20824
trained,2,globalnorm,0,95,3,15,-0.22334
trained,2,globalnorm,0,96,3,16,-0.23927
trained,2,globalnorm,0,97,3,17,-0.25515
trained,2,globalnorm,0,98,3,18,-0.2705
trained,2,globalnorm,0,99,3,19,-0.28403
trained,2,globalnorm,0,100,3,20,-0.29899
trained,2,globalnorm,0,101,3,21,-0.31572
trained,2,globalnorm,0,102,3,22,-0.33103
trained,2,globalnorm,0,103,3,23,-0.3453
trained,2,globalnorm,0,104,3,24,-0.35968
trained,2,globalnorm,0,105,3,25,-0.37556
trained,2,globalnorm,0,106,3,26,-0.39091
trained,2,globalnorm,0,107,3,27,-0.40583
trained,2,globalnorm,0,108,3,28,-0.42064
trained,2,globalnorm,0,109,3,29,-0.4345
trained,2,globalnorm,0,110,3,30,-0.44875
trained,2,globalnorm,0,111,3,31,-0.46391
trained,2,globalnorm,0,112,3,32,-0.47908
trained,2,globalnorm,0,113,3,33,-0.49474
trained,2,globalnorm,0,114,3,34,-0.50887
trained,2,globalnorm,0,115,3,35,-0.52322
trained,2,globalnorm,0,116,3,36,-0.53861
trained,2,globalnorm,0,117,3,37,-0.54803
trained,2,globalnorm,0,118,3,38,-0.5499
trained,2,globalnorm,0,119,3,39,-0.4736
trained,2,globalnorm,0,120,4,0,-0.46693
trained,2,globalnorm,0,121,4,1,-0.47477
trained,2,globalnorm,0,122,4,2,-0.48803
trained,2,globalnorm,0,123,4,3,-0.50217
trained,2,globalnorm,0,124,4,4,-0.51672
trained,2,globalnorm,0,125,4,5,-0.53166
trained,2,globalnorm,0,126,4,6,-0.54714
trained,2,globalnorm,0,127,4,7,-0.56169
trained,2,globalnorm,0,128,4,8,-0.57677
trained,2,globalnorm,0,129,4,9,-0.59229
trained,2,globalnorm,0,130,4,10,-0.60675
trained,2,globalnorm,0,131,4,11,-0.62191
trained,2,globalnorm,0,132,4,12,-0.63726
trained,2,globalnorm,0,133,4,13,-0.65216
trained,2,globalnorm,0,134,4,14,-0.66651
trained,2,globalnorm,0,135,4,15,-0.68087
trained,2,globalnorm,0,136,4,16,-0.69629
trained,2,globalnorm,0,137,4,17,-0.71219
trained,2,globalnorm,0,138,4,18,-0.72711
trained,2,globalnorm,0,139,4,19,-0.74045
trained,2,globalnorm,0,140,4,20,-0.75579
trained,2,globalnorm,0,141,4,21,-0.77206
trained,2,globalnorm,0,142,4,22,-0.78684
trained,2,globalnorm,0,143,4,23,-0.80089
