kind,seed,unit,preferred_lap,selectivity
trained,2,0,1,0.00418
trained,2,1,1,0.00452
trained,2,2,1,0.03449
trained,2,3,1,0.12627
trained,2,4,4,0.00527
trained,2,5,4,0.01438
trained,2,6,3,0.00281
trained,2,7,1,0.00198
trained,2,8,4,0.94812
trained,2,9,3,0.01796
trained,2,10,1,0.00045
trained,2,11,2,0.07018
trained,2,12,4,0.00062
trained,2,13,1,0.94005
trained,2,14,1,0.94584
trained,2,15,2,0.72949
trained,2,16,2,0.02224
trained,2,17,1,0.06393
trained,2,18,3,0.0741
trained,2,19,1,0.31699
trained,2,20,1,0.94456
trained,2,21,1,0.19149
trained,2,22,4,0.14789
trained,2,23,1,0.87438
trained,2,24,4,0.93606
trained,2,25,4,0.06257
trained,2,26,4,0.9353
trained,2,27,1,0.91453
trained,2,28,1,0.06145
trained,2,29,3,0.24053
trained,2,30,1,0.88384
trained,2,31,1,0.93229
trained,2,32,4,0.20021
trained,2,33,4,0.94047
trained,2,34,1,0.94483
trained,2,35,1,0.9369
trained,2,36,4,0.93981
trained,2,37,4,0.94808
trained,2,38,3,0.00964
trained,2,39,1,0.93699
trained,2,40,1,0.88868
trained,2,41,1,0.15456
trained,2,42,3,0.84103
trained,2,43,4,0.93852
trained,2,44,4,0.94304
trained,2,45,4,0.91145
trained,2,46,1,0.9135
trained,2,47,1,0.75881
trained,2,48,1,0.9417
trained,2,49,1,0.91838
trained,2,50,3,0.09782
trained,2,51,4,0.93587
trained,2,52,4,0.95828
trained,2,53,4,0.93823
trained,2,54,4,0.10665
trained,2,55,3,0.86301
trained,2,56,4,0.33885
trained,2,57,1,0.87159
trained,2,58,1,0.94695
trained,2,59,1,0.8899
trained,2,60,1,0.92678
trained,2,61,1,0.89937
trained,2,62,1,0.87911
trained,2,63,1,0.92407
trained,2,64,1,0.84103
trained,2,65,2,0.65669
trained,2,66,4,0.93226
trained,2,67,4,0.94134
trained,2,68,3,0.89849
trained,2,69,3,0.81894
trained,2,70,4,0.94291
trained,2,71,4,0.89289
trained,2,72,4,0.75966
trained,2,73,4,0.88495
trained,2,74,4,0.96458
trained,2,75,1,0.90674
trained,2,76,1,0.91778
trained,2,77,1,0.92321
trained,2,78,1,0.91981
trained,2,79,1,0.90453
untrained,2,0,1,0.00381
untrained,2,1,1,0.00492
untrained,2,2,3,0.00377
untrained,2,3,3,0.00399
untrained,2,4,3,0.02905
untrained,2,5,1,0.03945
untrained,2,6,4,0.01827
untrained,2,7,3,0.82861
untrained,2,8,4,0.08187
untrained,2,9,2,0.00625
untrained,2,10,4,0.00284
untrained,2,11,1,0.93696
untrained,2,12,3,0.13109
untrained,2,13,1,0.93606
untrained,2,14,1,0.08124
untrained,2,15,2,0.00162
untrained,2,16,4,0.94802
untrained,2,17,3,0.88725
untrained,2,18,4,0.16887
untrained,2,19,2,0.14382
untrained,2,20,1,0.81822
untrained,2,21,1,0.93807
untrained,2,22,3,0.04728
untrained,2,23,3,0.00857
untrained,2,24,4,0.9381
untrained,2,25,4,0.00047
untrained,2,26,2,0.0128
untrained,2,27,1,0.02679
untrained,2,28,1,0.93908
untrained,2,29,3,0.13501
untrained,2,30,1,0.64665
untrained,2,31,1,0.93407
untrained,2,32,2,0.76456
untrained,2,33,4,0.93509
untrained,2,34,1,0.9485
untrained,2,35,3,0.01452
untrained,2,36,3,0.89769
untrained,2,37,3,0.03727
untrained,2,38,2,0.53746
untrained,2,39,1,0.92911
untrained,2,40,1,0.87864
untrained,2,41,1,0.92881
untrained,2,42,3,0.06899
untrained,2,43,4,0.93152
untrained,2,44,2,0.02179
untrained,2,45,3,0.03333
untrained,2,46,1,0.11522
untrained,2,47,1,0.06876
untrained,2,48,1,0.94401
untrained,2,49,1,0.90642
untrained,2,50,1,0.87903
untrained,2,51,3,0.84222
untrained,2,52,4,0.92701
untrained,2,53,4,0.93199
untrained,2,54,4,0.9291
untrained,2,55,2,0.58162
untrained,2,56,4,0.92754
untrained,2,57,1,0.93794
untrained,2,58,1,0.92835
untrained,2,59,1,0.65844
untrained,2,60,1,0.13963
untrained,2,61,1,0.92868
untrained,2,62,1,0.39983
untrained,2,63,1,0.83871
untrained,2,64,1,0.94072
untrained,2,65,3,0.83942
untrained,2,66,4,0.93303
untrained,2,67,4,0.93278
untrained,2,68,4,0.93419
untrained,2,69,4,0.932
untrained,2,70,4,0.94222
untrained,2,71,4,0.93604
untrained,2,72,4,0.9443
untrained,2,73,4,0.93664
untrained,2,74,4,0.93379
untrained,2,75,1,0.93663
untrained,2,76,1,0.93621
untrained,2,77,1,0.93758
untrained,2,78,1,0.93771
untrained,2,79,1,0.93761
